設立單位類型,服務里別,地點,地址,Latitude,Longitude
其他(人民團體、社區發展協會、學校),埔頂里,桃園市新屋區埔頂社區發展協會,桃園市新屋區埔頂里埔頂路279巷50號,24.9551243,121.1106361
其他(人民團體、社區發展協會、學校),大坡里,桃園市新屋區大坡社區發展協會,桃園市新屋區大坡里國校路1號,24.9593212,121.0421102
其他(人民團體、社區發展協會、學校),永興里、永安里、下埔里,桃園市新屋區永興社區發展協會,桃園市新屋區永興里永慶一路273號,25.0042562,121.0301168
其他(人民團體、社區發展協會、學校),社子里,桃園市新屋區社子社區發展協會,桃園市新屋區社子里社福路235號,24.956797,121.0816765
其他(人民團體、社區發展協會、學校),永安里,桃園市新屋區永安社區發展協會,桃園市新屋區永安里保生路55號,24.9883033,121.0278546
其他(人民團體、社區發展協會、學校),後庄里,桃園市新屋區後庄社區發展協會,桃園市新屋區後庄里5鄰東福路2段515號,24.9486401,121.007381
其他(人民團體、社區發展協會、學校),笨港里,桃園市新屋區笨港社區發展協會,桃園市新屋區笨港里聖賢路39號,24.9752513,121.0191751
其他(人民團體、社區發展協會、學校),後湖里,桃園市新屋區後湖社區發展協會,桃園市新屋區後湖里三民路1段68號,24.972138,121.099484
其他(人民團體、社區發展協會、學校),?榔里,桃園市新屋區?榔社區發展協會,桃園市新屋區?榔里保安路439號,24.9714058,121.0505978
其他(人民團體、社區發展協會、學校),深圳里,桃園市新屋區深圳社區發展協會,桃園市新屋區深圳里4鄰20-5號,24.956586,121.0077058
其他(人民團體、社區發展協會、學校),下田里,桃園市新屋區下田社區發展協會,桃園市新屋區下田里中山西路2段780號,24.9831352,121.0595326
其他(人民團體、社區發展協會、學校),東明里,桃園市新屋區東明社區發展協會,桃園市新屋區東明里3鄰5號,24.9717083,121.0865346
其他(人民團體、社區發展協會、學校),石牌里,桃園市新屋區石牌社區發展協會,桃園市新屋區東興路二段568號,25.0028964,121.0523893
其他(人民團體、社區發展協會、學校),九斗里、清華里、新屋里、埔頂里,桃園市新屋區老人會,桃園市新屋區九斗里2鄰五谷路775巷45號,24.9606723,121.1192582
其他(人民團體、社區發展協會、學校),新生里,桃園市新屋區新生社區發展協會,桃園市新屋區新生里中山路370號2樓,24.9728844,121.1041169
其他(人民團體、社區發展協會、學校),龍星里、中正里、上華里、龍潭里,桃園市龍潭區大中正社區發展協會,桃園市龍潭區龍星里中正路204號,24.8646052,121.2168242
其他(人民團體、社區發展協會、學校),三和里,桃園市龍潭區三和社區發展協會,桃園市龍潭區三和里番子窩路5號,24.857088,121.173306
其他(人民團體、社區發展協會、學校),三林里、富林里、建林里,桃園市龍潭區三林社區發展協會,桃園市龍潭區三林里富華街三林段395巷140號-1,24.8383448,121.2270874
其他(人民團體、社區發展協會、學校),武漢里、中興里、東興里、北興里、黃唐里,桃園市龍潭區中興社區發展協會,桃園市龍潭區武漢里武漢路98號3樓,24.8714365,121.2344735
其他(人民團體、社區發展協會、學校),聖德里、八德里,桃園市龍潭區八德社區發展協會,桃園市龍潭區聖德里湧光路533號,24.8820866,121.1951038
其他(人民團體、社區發展協會、學校),中正里、上華里、龍星里、上林里,財團法人台灣省桃園縣中國基督教靈糧堂世界佈道會中壢靈糧堂(龍潭活水靈糧堂),桃園市龍潭區中正里龍華路440號,24.8568407,121.217375
里辦公處,三坑里,桃園市龍潭區三坑里辦公處,桃園市龍潭區三坑里三坑老街66號,24.8444473,121.2485009
里辦公處,上華里,桃園市龍潭區上華里辦公處,桃園市龍潭區上華里大順路209號,24.8507941,121.2178753
里辦公處,百年里,桃園市龍潭區百年里辦公處,桃園市龍潭區百年二街15巷21號B1,24.8779421,121.209178
里辦公處,高原里、三和里、高平里,桃園市龍潭區高原里辦公處,桃園市龍潭區高原里中原路三段135號,24.8265076,121.1920408
里辦公處,中興里、東興里、武漢里、北興里、黃唐里,桃園市龍潭區中興里辦公處,桃園市龍潭區中興里中興路240巷38號,24.8756266,121.2347724
里辦公處,佳安里,桃園市龍潭區佳安里辦公處,桃園市龍潭區佳安里佳安西路2巷2號,24.8444927,121.2053963
里辦公處,八德里,桃園市龍潭區八德里辦公處,桃園市龍潭區八德里梅龍路2號,24.8734995,121.2019584
其他(人民團體、社區發展協會、學校),大平里、三坑里,桃園市龍潭區石門社區發展協會,桃園市龍潭區大平里永平路80號,24.8288697,121.2461549
其他(人民團體、社區發展協會、學校),龍潭區、三水里、三和里、新竹縣、東平里、巨埔里、新北里,桃園市龍潭區三水社區發展協會,龍新路三和段1420巷137號,24.8442878,121.1526006
其他(人民團體、社區發展協會、學校),上林里,桃園市龍潭區上林社區發展協會,桃園市龍潭區上林里金龍路112巷51號,24.8555299,121.2120385
其他(人民團體、社區發展協會、學校),高平里,桃園市龍潭區高平社區發展協會,桃園市龍潭區高平里龍源路11號,24.8267527,121.2065369
其他(人民團體、社區發展協會、學校),九龍里、武漢里、祥和里,桃園市龍潭區九龍社區發展協會,桃園市龍潭區九龍里五福街330號,24.8641792,121.2255095
